creator_id,name,description,config_hash,config,total_return,max_drawdown,success_rate,sharpe_ratio,total_trades,total_stocks,quality_score,subscribers,top_holdings,is_public,is_active,is_showcase
"system_showcase","Accumulation Distribution V0","Showcase strategy: Accumulation Distribution V0","1d80ea9552f1fe45","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""accumulation_distribution_v0"",""filters"":{""marketCap"":[""large"",""mid""]},""fundamentalIndicators"":[],""technicalIndicators"":[{""type"":""ACCUMULATION_DISTRIBUTION""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","ADX Trend Base","Showcase strategy: ADX Trend Base","8a6578f5e46f476c","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""adx_trend_base_period14_threshold20"",""filters"":{""marketCap"":[""large"",""mid""]},""fundamentalIndicators"":[],""technicalIndicators"":[{""period"":14,""threshold"":20,""type"":""ADX""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","ADX Trend High Margin","Showcase strategy: ADX Trend High Margin","e928928a2413c12a","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""adx_trend_high_margin_period20_threshold20_min15"",""filters"":{""marketCap"":[""large"",""mid""]},""fundamentalIndicators"":[{""min"":15,""type"":""NPM""}],""technicalIndicators"":[{""period"":20,""threshold"":20,""type"":""ADX""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","ADX Trend Largecap","Showcase strategy: ADX Trend Largecap","dcbc72c3819f1ee5","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""adx_trend_largecap_period14_threshold20"",""filters"":{""marketCap"":[""large""]},""fundamentalIndicators"":[],""technicalIndicators"":[{""period"":14,""threshold"":20,""type"":""ADX""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","ADX Trend Low Debt","Showcase strategy: ADX Trend Low Debt","0f0b529ce1ea7559","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""adx_trend_low_debt_period20_threshold20_max0.6"",""filters"":{""marketCap"":[""large"",""mid""]},""fundamentalIndicators"":[{""max"":0.6,""type"":""DE_RATIO""}],""technicalIndicators"":[{""period"":20,""threshold"":20,""type"":""ADX""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","ADX Trend Quality ROE","Showcase strategy: ADX Trend Quality ROE","33a92879280eaae6","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""adx_trend_quality_roe_period14_threshold20_min20"",""filters"":{""marketCap"":[""large"",""mid""]},""fundamentalIndicators"":[{""min"":20,""type"":""ROE""}],""technicalIndicators"":[{""period"":14,""threshold"":20,""type"":""ADX""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","ADX Trend Syariah","Showcase strategy: ADX Trend Syariah","343a577a8277f1a2","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""adx_trend_syariah_period14_threshold20"",""filters"":{""marketCap"":[""large"",""mid""],""syariah"":true},""fundamentalIndicators"":[],""technicalIndicators"":[{""period"":14,""threshold"":20,""type"":""ADX""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","ADX Trend Value PBV","Showcase strategy: ADX Trend Value PBV","5c6b9e71192c0022","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""adx_trend_value_pbv_period14_threshold20_max1.6"",""filters"":{""marketCap"":[""large"",""mid""]},""fundamentalIndicators"":[{""max"":1.6,""type"":""PBV""}],""technicalIndicators"":[{""period"":14,""threshold"":20,""type"":""ADX""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","ADX Trend Value PE","Showcase strategy: ADX Trend Value PE","9102dcd0f0d3d30e","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""adx_trend_value_pe_period14_threshold20_max15"",""filters"":{""marketCap"":[""large"",""mid""]},""fundamentalIndicators"":[{""max"":15,""type"":""PE_RATIO""}],""technicalIndicators"":[{""period"":14,""threshold"":20,""type"":""ADX""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
"system_showcase","Ascending Triangle V0","Showcase strategy: Ascending Triangle V0","1b4ede351960fa44","{""backtestConfig"":{""endDate"":""2026-02-13"",""initialCapital"":100000000,""portfolio"":{""maxPositions"":5,""minPositionPercent"":5,""positionSizePercent"":20},""riskManagement"":{""maxHoldingDays"":21,""stopLoss"":{""method"":""FIXED"",""percent"":7},""takeProfit"":{""method"":""FIXED"",""percent"":15}},""startDate"":""2025-02-25"",""tradingCosts"":{""brokerFee"":0.15,""minimumFee"":1000,""sellFee"":0.15,""slippageBps"":0,""spreadBps"":0}},""backtestId"":""ascending_triangle_v0"",""filters"":{""marketCap"":[""large"",""mid""]},""fundamentalIndicators"":[],""technicalIndicators"":[{""type"":""ASCENDING_TRIANGLE""}]}","","","","","0","0","Unknown","0","[]","true","true","true"
